lemma,inflect_type,pos,case,form
demagoogia,1,S,sg n,demagoogia
demagoogia,1,S,sg g,demagoogia
dementsia,1,S,sg n,dementsia
dementsia,1,S,sg g,dementsia
Demidova,1,H,sg n,Demidova
Demidova,1,H,sg g,Demidova
dendroloogia,1,S,sg n,dendroloogia
dendroloogia,1,S,sg g,dendroloogia
dermatoloogia,1,S,sg n,dermatoloogia
dermatoloogia,1,S,sg g,dermatoloogia
despootia,1,S,sg n,despootia
despootia,1,S,sg g,despootia
deutsia,1,S,sg n,deutsia
deutsia,1,S,sg g,deutsia
diagnostika,1,S,sg n,diagnostika
diagnostika,1,S,sg g,diagnostika
diakroonia,1,S,sg n,diakroonia
diakroonia,1,S,sg g,diakroonia
dialektika,1,S,sg n,dialektika
dialektika,1,S,sg g,dialektika
dialektoloogia,1,S,sg n,dialektoloogia
dialektoloogia,1,S,sg g,dialektoloogia
diatoonika,1,S,sg n,diatoonika
diatoonika,1,S,sg g,diatoonika
didaktika,1,S,sg n,didaktika
didaktika,1,S,sg g,didaktika
dieteetika,1,S,sg n,dieteetika
dieteetika,1,S,sg g,dieteetika
difteeria,1,S,sg n,difteeria
difteeria,1,S,sg g,difteeria
dihhotoomia,1,S,sg n,dihhotoomia
dihhotoomia,1,S,sg g,dihhotoomia
diifenbahhia,1,S,sg n,diifenbahhia
diifenbahhia,1,S,sg g,diifenbahhia
Dinamo,1,H,sg n,Dinamo
Dinamo,1,H,sg g,Dinamo
diplomaatia,1,S,sg n,diplomaatia
diplomaatia,1,S,sg g,diplomaatia
diplomaatika,1,S,sg n,diplomaatika
diplomaatika,1,S,sg g,diplomaatika
dipsomaania,1,S,sg n,dipsomaania
dipsomaania,1,S,sg g,dipsomaania
diskuteerija,1,S,sg n,diskuteerija
diskuteerija,1,S,sg g,diskuteerija
distsiplineerimatu,1,A,sg n,distsiplineerimatu
distsiplineerimatu,1,A,sg g,distsiplineerimatu
Djibouti,1,H,sg n,Djibouti
Djibouti,1,H,sg g,Djibouti
Dmitrijeva,1,H,sg n,Dmitrijeva
Dmitrijeva,1,H,sg g,Dmitrijeva
dodekafoonia,1,S,sg n,dodekafoonia
dodekafoonia,1,S,sg g,dodekafoonia
dogmaatika,1,S,sg n,dogmaatika
dogmaatika,1,S,sg g,dogmaatika
dokumentalistika,1,S,sg n,dokumentalistika
dokumentalistika,1,S,sg g,dokumentalistika
doomino,1,S,sg n,doomino
doomino,1,S,sg g,doomino
Dostojevski,1,H,sg n,Dostojevski
Dostojevski,1,H,sg g,Dostojevski
dramaatika,1,S,sg n,dramaatika
dramaatika,1,S,sg g,dramaatika
dramaturgia,1,S,sg n,dramaturgia
dramaturgia,1,S,sg g,dramaturgia
dresseerija,1,S,sg n,dresseerija
dresseerija,1,S,sg g,dresseerija
Džomolungma,1,H,sg n,Džomolungma
Džomolungma,1,H,sg g,Džomolungma
dubleerija,1,S,sg n,dubleerija
dubleerija,1,S,sg g,dubleerija
dünaamika,1,S,sg n,dünaamika
dünaamika,1,S,sg g,dünaamika
dünamo,1,S,sg n,dünamo
dünamo,1,S,sg g,dünamo
dünastia,1,S,sg n,dünastia
dünastia,1,S,sg g,dünastia
düsenteeria,1,S,sg n,düsenteeria
düsenteeria,1,S,sg g,düsenteeria
düslaalia,1,S,sg n,düslaalia
düslaalia,1,S,sg g,düslaalia
düsleksia,1,S,sg n,düsleksia
düsleksia,1,S,sg g,düsleksia
düspepsia,1,S,sg n,düspepsia
düspepsia,1,S,sg g,düspepsia
düstoopia,1,S,sg n,düstoopia
düstoopia,1,S,sg g,düstoopia
eatu,1,A,sg n,eatu
eatu,1,A,sg g,eatu
ecstasy,1,S,sg n,ecstasy
ecstasy,1,S,sg g,ecstasy
Edasi,1,H,sg n,Edasi
Edasi,1,H,sg g,Edasi
edutu,1,A,sg n,edutu
edutu,1,A,sg g,edutu
edvistaja,1,S,sg n,edvistaja
edvistaja,1,S,sg g,edvistaja
eemaldi,1,S,sg n,eemaldi
eemaldi,1,S,sg g,eemaldi
eepika,1,S,sg n,eepika
eepika,1,S,sg g,eepika
Eerika,1,H,sg n,Eerika
Eerika,1,H,sg g,Eerika
eerika,1,S,sg n,eerika
eerika,1,S,sg g,eerika
eestindaja,1,S,sg n,eestindaja
eestindaja,1,S,sg g,eestindaja
eetika,1,S,sg n,eetika
eetika,1,S,sg g,eetika
egüptoloogia,1,S,sg n,egüptoloogia
egüptoloogia,1,S,sg g,egüptoloogia
ehholaalia,1,S,sg n,ehholaalia
